Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS
Chris Kreider,NYR,30,LW,63,24,21,13,45,58,13,17:14,13:45,3:28,0:01,1.325,1.159,2.485,1.039,1.177,2.216,2.471,1.098,3.569,0.381,0.333,0.714,156,15.4%,116,42
Nick Schmaltz,ARI,23,LW,70,11,34,13,45,20,3,15:32,13:16,2:14,0:00,0.607,1.876,2.483,0.581,1.485,2.066,0.763,4.199,4.962,0.157,0.486,0.643,95,11.6%,12,36
Jonathan Marchessault,VGK,31,C,66,22,25,12,47,28,6,17:17,15:03,2:13,0:00,1.157,1.315,2.472,0.966,1.147,2.113,2.46,2.46,4.92,0.333,0.379,0.712,235,9.4%,99,12
Dylan Strome,CHI,22,RW,58,12,26,8,38,16,1,15:56,13:18,2:36,0:01,0.779,1.687,2.466,0.777,1.554,2.332,0.795,2.384,3.178,0.207,0.448,0.655,97,12.4%,23,29
Oliver Bjorkstrand,CBJ,26,LW,49,21,15,6,36,12,8,17:56,15:27,2:28,0:00,1.433,1.024,2.457,1.427,0.951,2.378,1.48,1.48,2.961,0.429,0.306,0.735,162,13.0%,43,16
Gabriel Landeskog,COL,29,LW,54,21,23,15,44,47,-2,20:01,16:11,3:47,0:03,1.165,1.276,2.441,1.03,0.961,1.991,1.759,2.638,4.396,0.389,0.426,0.815,145,14.5%,86,35
Tomas Hertl,SJS,28,C,48,16,20,7,36,16,-18,18:26,14:24,2:35,1:26,1.084,1.355,2.439,1.041,1.301,2.342,0.968,2.419,3.387,0.333,0.417,0.75,117,13.7%,29,25
Conor Garland,VAN,25,RW,68,22,17,10,39,20,1,14:09,12:02,2:05,0:00,1.372,1.06,2.431,1.318,0.806,2.124,1.683,2.524,4.207,0.324,0.25,0.574,158,13.9%,26,21
Nazem Kadri,COL,31,C,51,19,17,11,36,97,7,17:25,13:30,3:47,0:07,1.283,1.148,2.43,1.306,0.87,2.176,1.241,2.172,3.413,0.373,0.333,0.706,133,14.3%,61,9
Timo Meier,SJS,25,RW,70,22,27,9,49,42,-22,17:17,14:29,2:06,0:41,1.09,1.338,2.429,1.183,1.183,2.366,0.813,2.846,3.66,0.314,0.386,0.7,199,11.1%,155,38
Logan Couture,SJS,32,C,52,16,23,9,39,18,0,18:31,14:05,2:45,1:41,0.996,1.432,2.429,1.311,0.983,2.294,0,3.774,3.774,0.308,0.442,0.75,126,12.7%,54,45
Claude Giroux,FLA,33,C,69,21,32,20,53,28,7,18:59,14:57,3:06,0:55,0.962,1.466,2.428,0.756,1.047,1.803,1.961,3.641,5.602,0.304,0.464,0.768,197,10.7%,45,16
Anthony DeAngelo,NYR,24,D,68,15,38,19,53,47,12,19:17,16:09,3:04,0:02,0.686,1.738,2.425,0.655,1.201,1.856,0.86,4.588,5.448,0.221,0.559,0.779,149,10.1%,48,57
Alex Killorn,TBL,32,LW,68,26,23,13,49,20,19,17:55,13:09,2:35,2:12,1.28,1.132,2.412,1.207,1.207,2.415,2.721,1.7,4.421,0.382,0.338,0.721,130,20.0%,59,15
Pavel Buchnevich,STL,26,LW,68,16,30,9,46,24,2,16:55,14:36,2:17,0:01,0.834,1.564,2.397,0.725,1.509,2.234,1.535,1.919,3.454,0.235,0.441,0.676,148,10.8%,80,22
Evgeny Dadonov,FLA,30,RW,69,25,22,17,47,10,-7,17:06,13:45,3:20,0:00,1.271,1.118,2.389,0.885,1.012,1.897,2.863,1.561,4.424,0.362,0.319,0.681,167,15.0%,29,24
Martin Necas,CAR,22,C,64,16,20,9,36,20,-6,14:10,12:20,1:48,0:01,1.059,1.324,2.382,0.836,1.216,2.052,2.599,2.079,4.679,0.25,0.313,0.563,88,18.2%,65,19
