Name,Team,Age,Pos,GP,G,A,PPP,P,PIM,+/-,TOI,ES,PP,SH,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tomas Hertl,SJS,28,C/LW,50,19,24,10,43,27,1,19:08,14:48,2:38,1:41,1.191,1.505,2.697,1.135,1.459,2.594,1.821,2.731,4.552,0.38,0.48,0.86,112,17.0%,39,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip Forsberg,NSH,27,LW,39,12,20,13,32,16,-9,18:17,15:20,2:56,0:00,1.009,1.682,2.691,0.903,1.003,1.906,1.568,5.226,6.793,0.308,0.513,0.821,129,9.3%,47,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin Necas,CAR,22,C/RW,53,14,27,11,41,10,25,17:17,14:29,1:50,0:57,0.917,1.768,2.684,0.625,1.407,2.032,2.452,4.291,6.743,0.264,0.509,0.774,114,12.3%,45,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Bjorkstrand,CBJ,26,LW/RW,56,18,26,6,44,23,-15,17:36,15:59,1:36,0:00,1.095,1.582,2.677,1.072,1.474,2.547,1.328,2.655,3.983,0.321,0.464,0.786,143,12.6%,42,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mika Zibanejad,NYR,28,C,56,24,26,14,50,18,2,20:06,14:02,3:41,2:21,1.279,1.386,2.665,0.916,1.526,2.442,2.902,1.161,4.063,0.429,0.464,0.893,171,14.0%,75,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conor Garland,VAN,25,LW/RW,49,12,27,10,39,26,-3,17:55,15:02,2:50,0:01,0.82,1.845,2.665,0.732,1.627,2.36,1.289,3.009,4.298,0.245,0.551,0.796,135,8.9%,26,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Kyrou,STL,23,C/LW/RW,55,14,21,3,35,12,1,14:25,13:10,1:15,0:00,1.059,1.588,2.647,1.16,1.491,2.65,0,2.616,2.616,0.255,0.382,0.636,98,14.3%,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Claude Giroux,FLA,33,C/LW/RW,54,16,27,11,43,12,-4,18:06,14:45,2:37,0:43,0.982,1.657,2.639,1.13,1.281,2.41,0.424,4.235,4.659,0.296,0.5,0.796,120,13.3%,32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan Gallagher,MTL,28,RW,35,14,9,3,23,16,10,15:00,13:02,1:56,0:01,1.599,1.028,2.627,1.446,1.183,2.629,2.639,0,2.639,0.4,0.257,0.657,106,13.2%,46,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominik Kubalik,CHI,25,LW/RW,56,17,21,14,38,18,-3,15:31,13:05,2:24,0:00,1.174,1.45,2.624,1.064,0.9,1.964,1.774,4.434,6.208,0.304,0.375,0.679,156,10.9%,57,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
